Disease,MutationType,Inheritance,Gene/Chromosome,Diagnostics,Phenotype,Genotype,Disease_EN
Μεσογειακή αναιμία (β-θαλασσαιμία),Σημειακή μετάλλαξη,Υπολειπόμενη,"HBB γονίδιο, Χρωμόσωμα 11","Ηλεκτροφόρηση αιμοσφαιρίνης, γενετικός έλεγχος","Αναιμία, κόπωση, ηπατοσπληνομεγαλία",Μεταλλάξεις στο γονίδιο β-σφαιρίνης,Beta thalassemia
α-θαλασσαιμία,Έλλειψη/διπλασιασμός,Υπολειπόμενη,"HBA1, HBA2 γονίδια, Χρωμόσωμα 16","Ηλεκτροφόρηση αιμοσφαιρίνης, γενετικός έλεγχος","Αναιμία, υποξία, εμβρυϊκός θάνατος (βαριές μορφές)",Απώλεια ή μεταλλάξεις στα γονίδια α-σφαιρίνης,Alpha thalassemia
Δρεπανοκυτταρική αναιμία,Σημειακή μετάλλαξη (αντικατάσταση βάσης),Υπολειπόμενη,"HBB γονίδιο, Χρωμόσωμα 11","Ηλεκτροφόρηση αιμοσφαιρίνης, γενετικός έλεγχος","Δρεπανοειδή ερυθρά αιμοσφαίρια, κρίσεις πόνου",Αντικατάσταση A→T στο HBB (Glu→Val),Sickle cell anemia
Φαινυλκετονουρία (PKU),Σημειακή μετάλλαξη,Υπολειπόμενη,"PAH γονίδιο, Χρωμόσωμα 12","Νεογνικός έλεγχος, μέτρηση φαινυλαλανίνης","Νοητική καθυστέρηση, δερματικές διαταραχές",Μεταλλάξεις στο PAH που οδηγούν σε ανεπάρκεια ενζύμου,Phenylketonuria
Μυϊκή δυστροφία Duchenne,Μεγάλη έλλειψη/μετατόπιση πλαισίου,Φυλοσύνδετη υπολειπόμενη,"DMD γονίδιο, Χρωμόσωμα Χ","Μοριακός έλεγχος DNA, βιοψία μυών","Μυϊκή αδυναμία, απώλεια κινητικότητας",Μεταλλάξεις στο DMD (δυστροφίνη),Duchenne muscular dystrophy
Αλφισμός,Σημειακές μεταλλάξεις ή ελλείψεις,Υπολειπόμενη,"TYR γονίδιο, Χρωμόσωμα 11 (συχνότερα)","Κλινική διάγνωση, γενετικός έλεγχος","Απουσία χρωστικής στο δέρμα, τρίχες, μάτια",Μεταλλάξεις στα γονίδια μελανίνης,Albinism
Αιμορροφιλία Α,Σημειακές μεταλλάξεις ή ελλείψεις,Φυλοσύνδετη υπολειπόμενη,"F8 γονίδιο, Χρωμόσωμα Χ","Μέτρηση παραγόντων πήξης, γενετικός έλεγχος","Αιμορραγικές εκδηλώσεις, εύκολες εκχυμώσεις",Μεταλλάξεις στο F8 (παράγοντας VIII),Hemophilia A
Αιμορροφιλία Β,Σημειακές μεταλλάξεις ή ελλείψεις,Φυλοσύνδετη υπολειπόμενη,"F9 γονίδιο, Χρωμόσωμα Χ","Μέτρηση παραγόντων πήξης, γενετικός έλεγχος","Αιμορραγικές εκδηλώσεις, εύκολες εκχυμώσεις",Μεταλλάξεις στο F9 (παράγοντας IX),Hemophilia B
Κυστική ίνωση,Σημειακή μετάλλαξη (συχνά έλλειψη 3 βάσεων),Υπολειπόμενη,"CFTR γονίδιο, Χρωμόσωμα 7","Τεστ ιδρώτα, μοριακός έλεγχος","Αναπνευστικά και πεπτικά προβλήματα, παχύρρευστη βλέννα",Διαγραφή τριών βάσεων (F508del) στο CFTR,Cystic fibrosis
Οικογενής υπερχοληστερολαιμία,Σημειακές μεταλλάξεις,Επικρατής,"LDLR γονίδιο, Χρωμόσωμα 19","Μέτρηση χοληστερόλης, γενετικός έλεγχος","Υψηλή LDL, αθηροσκλήρωση",Μεταλλάξεις στο LDLR,Familial hypercholesterolemia
Cri du chat (Σύνδρομο “κλάμα γάτας”),Έλλειψη χρωμοσωμικού τμήματος,Σποραδική,Έλλειψη στο βραχύ σκέλος χρωμοσώματος 5,"Καρυότυπος, FISH","Υψηλό κλάμα, νοητική καθυστέρηση, δυσμορφίες",Έλλειψη 5p, Cri du chat
Σύνδρομο Down,Τρισωμία,Σποραδική (μη διαχωρισμός),Χρωμόσωμα 21,"Καρυότυπος, προγεννητικός έλεγχος","Νοητική καθυστέρηση, χαρακτηριστικά γνωρίσματα","47, +21",Down syndrome
Σύνδρομο Turner,Μονοσωμία,Σποραδική (μη διαχωρισμός),Χρωμόσωμα Χ,"Καρυότυπος, προγεννητικός έλεγχος","Κοντό ανάστημα, στειρότητα, πτυχές τραχήλου","45, Χ0",Turner syndrome
Σύνδρομο Klinefelter,Πολυσωμία,Σποραδική (μη διαχωρισμός),"Χρωμόσωμα Χ, Χρωμόσωμα Υ","Καρυότυπος, προγεννητικός έλεγχος","Μακρύ ανάστημα, στειρότητα, γυναικομαστία","47, XXY",Klinefelter syndrome
Μερική αχρωματοψία,Σημειακές μεταλλάξεις,Φυλοσύνδετη υπολειπόμενη, "Χq28, Χρωμόσωμα Χ", "Κλινική διάγνωση, γενετικός έλεγχος", Αδυναμία διάκρισης αποχρώσεων κόκκινου και πράσινου, Μεταλλάξεις στα γονίδια του μεγάλου βραχίονα Xq28, Congenital red-green color blindeness
